,College_Name,State,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
542,"Chaibasa Engineering College, Techno India Group, Chaibasa ",Jharkhand,--,--,7.2,7.7,6.9,7.3,7.7,6.4,7
543,Ramgarh Engineering College ,Jharkhand,--,--,6.7,7.1,6.2,7.6,6.8,4.6,7.7
544,Capital University ,Jharkhand,"1,10,000",--,8.2,8.3,8.1,8,8.3,8.1,8.1
545,RTC Institute of Technology ,Jharkhand,"78,800","62,400",7.7,8.3,7.4,8.7,8.3,7.4,6
546,"University College of Engineering and Technology, Vinoba ",Jharkhand,"65,100",--,7,7.5,6.9,7.5,7.3,6.1,6.9
547,RVS College of Engineering and Technology ,Jharkhand,"89,400","81,000",7.7,8.1,6.5,8.1,8.3,7.5,7.8
548,"KK College of Engineering and Management, Dhanbad ",Jharkhand,"89,570","61,990",6.5,7,6.3,7.2,7.9,4.7,5.9
549,"Ramgovind Institute of Technology, Kodarma ",Jharkhand,"34,000",--,4.9,6.5,6.5,6,4,2.5,4
550,Nilai Institute of Technology ,Jharkhand,"75,000","35,000",--,--,--,--,--,--,--
551,"Maryland Institute of Technology And Management, Jamshedpur ",Jharkhand,"62,000",--,6.8,7.5,7.5,7,5.5,6.3,7
552,Ramchandra Chandarvansi Institute of Technology ,Jharkhand,"63,200",--,7.7,8,8,8,7,7,8
553,Vidya Memorial Institute of Technology ,Jharkhand,"53,400",--,7.5,8.7,6.5,7.5,8,8,6.5
554,Indian Institute of Technology ,Himachal pradesh,"2,14,000","2,16,700",7.8,7.8,8,7.7,7.5,7.5,8.1
555,National Institute of Technology ,Himachal pradesh,"1,46,100","34,050",8.2,7.9,8.1,7.7,9,7.8,8.5
556,Jaypee University of Information Technology ,Himachal pradesh,"2,19,500","1,00,000",7.9,8,8.4,7,8.7,7.9,7.6
557,Indian Institute of Information Technology ,Himachal pradesh,"2,01,400",--,7.6,7.8,8.2,7.3,7.6,7.5,7.3
558,Baddi University of Emerging Sciences and Technologies ,Himachal pradesh,"1,35,636","1,35,125",7.1,6.7,6.9,7.2,7.3,7,7.7
559,Maharishi Markandeshwar ,Himachal pradesh,"1,48,500","1,13,500",8.6,9,8.2,8.9,8.2,8.4,8.9
560,"Arni University, Kangra ",Himachal pradesh,"1,05,000","85,000",8,8.2,7.4,8.1,8.4,7.7,8.4
561,Bahra University ,Himachal pradesh,"1,20,150","80,000",7.6,7.8,7.5,8,7.7,7,7.6
562,Eternal University ,Himachal pradesh,"1,18,000","73,000",7.5,7.4,7.1,7.8,8.2,7.1,7.4
563,Abhilashi University ,Himachal pradesh,"90,000",--,8.4,8.9,8.3,8.4,8.6,8.1,8.1
564,IEC University Baddi ,Himachal pradesh,"1,18,600","88,600",7.6,7.5,7.5,7.4,7.7,8,7.5
565,"University Institute of Information Technology, Himachal Pradesh ",Himachal pradesh,"1,22,010",--,7.1,7.9,5.3,7,7.2,7.5,7.9
566,Career Point University ,Himachal pradesh,"1,05,000","83,000",7.5,7.5,7.4,7,7.6,6.6,8.6
567,Sri Sai University ,Himachal pradesh,"90,000","60,000",7.4,7.3,6.3,8.2,7.7,6.8,8
568,"Green Hills Engineering College, Solan ",Himachal pradesh,"80,700","94,700",6,6.7,4.8,6.3,7.2,4.4,6.6
569,"Rajiv Gandhi govt. Engineering college -[RGGEC], Kangra ",Himachal pradesh,"61,070",--,7.5,7.8,7.4,7.6,8.4,5.6,7.9
570,Indus International University ,Himachal pradesh,"1,20,000","1,20,000",6.8,8,7,7,6,7,6
571,Jawaharlal Nehru Government Engineering College ,Himachal pradesh,"55,000",--,6.6,7.4,5.4,7.5,6.5,5.5,7.5
572,Maharaja Agrasen University ,Himachal pradesh,"1,19,000","1,15,000",7.5,7.7,7.5,7.6,8.7,7,6.2
573,"ICFAI University, Baddi ",Himachal pradesh,"95,000",--,8,9,7,8,8,8,8
574,Himachal Institute of Engineering and Technology ,Himachal pradesh,"73,000","46,000",7.5,8.7,6.2,7.8,7.4,6.6,8
575,"LR Institute of Engineering and Technology, Solan ",Himachal pradesh,"2,96,000",--,6.4,6.5,6.5,6.5,7.5,5,6.5
576,"Himalayan Group of Professional Institutions, Sirmaur ",Himachal pradesh,"84,200","90,200",8.2,8.4,7.6,8.4,8.4,8.2,8
577,Manav Bharti University ,Himachal pradesh,"90,000",--,6.2,5.3,4.7,6.7,7,6.3,7
578,"Chitkara University, Solan ",Himachal pradesh,"1,60,000","1,20,000",8.2,8.2,7.5,8.2,8.4,8.8,8.3
579,"Bells Institute of Management & Technology, Shimla ",Himachal pradesh,"74,700","96,200",6.8,8,8,6,8,4,7
580,"Shiva Group of Institutions, Bilaspur ",Himachal pradesh,"72,200","41,600",5,5.5,4,6,4,3.5,7
581,Mahatma Gandhi Government Engineering College ,Himachal pradesh,"1,20,000",--,5.8,6.7,5.7,6.7,5.7,4,6
582,Shri Mata Vaishno Devi University ,Jammu,"1,69,750","1,03,750",7.6,7.5,7.9,7,8.3,6.7,8.3
583,National Institute of Technology ,Jammu,"5,30,000","1,60,000",6.8,7.1,6.3,7.1,6.8,6.6,6.9
584,Indian Institute of Technology ,Jammu,"1,00,266","70,500",8.3,8.9,8.8,8,7.8,7.6,8.6
585,Government College of Engineering and Technology ,Jammu,"35,830","61,200",5.7,6.5,5.3,6.3,6.2,4.6,5.1
586,Islamic University of Science and Technology ,Jammu,"66,200","2,840",7.4,8.4,6.9,8.2,8,5.5,7.2
587,SSM College of Engineering and Technology ,Jammu,--,--,6.9,7.4,6.7,7.3,7.6,4.9,7.4
588,"Yogananda College of Engineering & Technology -[YCET], ",Jammu,"1,80,000",--,5.7,6.6,5.2,6.3,6.1,4,6
589,"MBS College of Engineering and Technology, Jammu ",Jammu,"49,000",--,5.7,7.3,5,6.5,7,3.8,4.4
590,Sher-e-Kashmir University of Agricultural Sciences and Technology ,Jammu,"60,000","30,600",7.4,8.4,7.4,7.7,8,5.9,7.2
591,"Government Degree College for Boys, Udhampur ",Jammu,--,--,6.6,6.7,5.7,7,6.7,5.3,8
592,Baba Ghulam Shah Badshah University ,Jammu,"2,49,300","67,500",7.2,7.9,7.6,7.4,7.1,5.9,7.1
593,"Central University of Jammu, Jammu ",Jammu,"11,715",--,8.2,8.4,7.8,8.5,8.6,7.3,8.5
594,Central University of Kashmir ,Jammu,"55,900",--,7.8,8.2,7.8,8.4,7.2,7.4,7.6
595,University of Kashmir ,Jammu,--,--,6.7,7,6.9,7.1,7.2,5.1,6.8
596,"Govt. Gandhi Memorial Science College, Jammu ",Jammu,--,--,6.7,7.3,6.1,7.9,6.8,4.2,7.6
597,Kashmir Government Polytechnic ,Jammu,"2,130","2,130",7.5,9.5,6.5,8.5,8.5,7,5
598,Cluster University of Srinagar ,Jammu,--,--,8.2,8.7,8.3,8.1,8.3,7.2,8.5
599,Bhargava College of Engineering & Technology ,Jammu,--,--,--,--,--,--,--,--,--
600,"Government Polytechnic College -[GPC], Anantnag ",Jammu,"2,130",--,--,--,--,--,--,--,--
601,"Masterpro Institute of Technology, Srinagar ",Jammu,--,--,--,--,--,--,--,--,--
602,"Kite Polytechnic College, Budgam ",Jammu,--,--,--,--,--,--,--,--,--
603,"Government Polytechnic Kargil, Kargil ",Jammu,"2,130",--,--,--,--,--,--,--,--
604,"Government Polytechnic College, Baramulla ",Jammu,"2,130","2,130",--,--,--,--,--,--,--
605,Government Polytechnic College ,Jammu,"2,130","2,130",--,--,--,--,--,--,--
606,"Government Polytechnic For Women-[GPW], Jammu ",Jammu,"2,130",--,--,--,--,--,--,--,--
607,"Government Polytechnic College, Bandipora ",Jammu,"2,330",--,--,--,--,--,--,--,--
608,"Government Polytechnic, Kulgam ",Jammu,"4,500",--,--,--,--,--,--,--,--
609,"Government Polytechnic College, Budgam ",Jammu,"2,130",--,--,--,--,--,--,--,--
610,"Government Polytechnic College, Sopore ",Jammu,"2,130",--,--,--,--,--,--,--,--
611,Panjab University ,Chandigarh,"96,300","27,500",7.7,8.2,7.7,8,7.7,6.5,8.2
612,Punjab Engineering College University of Technology ,Chandigarh,"96,750","93,500",8,7.9,7.3,7.6,7.7,8.4,9
613,"University Institute of Engineering, Chandigarh University ",Chandigarh,"1,60,000","80,000",8.4,8.6,7.9,8.1,8.7,8.7,8.3
614,National Institute of Technical Teachers Training and ,Chandigarh,"44,696","24,500",7.7,7.7,6.7,8.6,7.7,7.7,8
615,"University Institute of Engineering and Technology -[UIET], ",Chandigarh,"82,197","16,160",7.4,7.5,7.5,7.4,7,7,8.2
616,Chandigarh College of Engineering and Technology ,Chandigarh,"64,240",--,6.9,7.2,6.4,7.1,6.9,6.5,7.3
617,Apex Institute of Technology ,Chandigarh,"2,10,000",--,--,--,--,--,--,--,--
618,"IITT Institutions, Chandigarh ",Chandigarh,"80,750","78,150",--,--,--,--,--,--,--
619,Dr. S. S. Bhatnagar University Institute of ,Chandigarh,"3,94,000","30,355",7.1,7,7.9,6.9,5.7,7.1,8
620,Swami Vivekanand Institute of Engineering & Technology ,Chandigarh,"88,960","70,000",7.6,8.3,6.9,7.4,8.1,7.4,7.2
621,"Gurukul Vidyapeeth, Chandigarh ",Chandigarh,--,--,3.5,5,3,4,3,2,4
622,"Morph Academy, Chandigarh ",Chandigarh,"1,70,000",--,8.3,9,6,9,8.5,8.5,9
623,Indo Swiss Training Centre ,Chandigarh,"51,000","51,000",8.6,8.3,8.5,9.2,8.8,8.5,8
624,"Artex Informatic Solutions, Chandigarh ",Chandigarh,--,--,--,--,--,--,--,--,--
625,Swami Vivekanand Polytechnic College ,Chandigarh,"32,840",--,--,--,--,--,--,--,--
626,"PG Government College for Girls, Chandigarh ",Chandigarh,"55,260",--,8.1,7.7,7.4,8.9,8.3,8.2,8
627,Government Industrial Training Institute ,Chandigarh,--,--,--,--,--,--,--,--,--
628,Government Polytechnic for Women ,Chandigarh,"7,225","7,225",--,--,--,--,--,--,--
629,"Longowal Polytechnic College, Chandigarh ",Chandigarh,--,--,--,--,--,--,--,--,--
630,"Universal Polytechnic College, Chandigarh ",Chandigarh,--,--,--,--,--,--,--,--,--
631,Swami Vivekanand Industrial Training Centre ,Chandigarh,"15,960",--,--,--,--,--,--,--,--
632,Swami Vivekanand Group Of Institutes ,Chandigarh,"88,960","75,000",8.5,9,7.8,--,9,8.1,--
633,National Institute of Technology ,Goa,"1,44,400","89,400",7.3,8.3,6,8.4,5.6,7.9,7.6
634,Indian Institute of Technology ,Goa,"2,29,900","32,019",8,8.4,7.9,8.5,7.9,7,8.4
635,Birla Institute of Technology and Science ,Goa,"3,99,475","3,99,475",8.5,8.4,8.3,7.8,8.7,8.7,8.9
636,Goa College of Engineering ,Goa,"59,500","57,375",7.5,7.6,6.7,7.3,8,6.7,8.6
637,"Padre Conceicao College of Engineering, Salcete ",Goa,"1,30,000","83,500",6.6,7.4,4.2,7.6,6.7,6.8,6.9
638,National Centre for Antarctic and Ocean Research ,Goa,--,--,9.2,9,9,--,--,--,--
639,"Shree Rayeshwar Institute of Engineering and Information Technology, North Goa ",Goa,"1,02,300",--,6.6,6.6,5.9,6.8,6.2,7.2,6.8
640,National Institute of Oceanography ,Goa,"14,000","14,000",8.8,9.5,8.8,8.9,9.3,8.3,8.2
641,"Goa University, North Goa ",Goa,"17,290",--,7.9,8.6,7.4,7.8,7.7,8,7.6
642,International Institute of Hotel Management ,Goa,--,--,8.7,8.5,8.5,8.9,8.5,9.1,8.6
643,"Government Polytechnic, Bicholim ",Goa,--,--,--,--,--,--,--,--,--
644,"Agnel Polytechnic, South Goa ",Goa,"37,200","37,200",--,--,--,--,--,--,--
645,"Government Polytechnic, Curchorem ",Goa,"16,000",--,--,--,--,--,--,--,--
646,Government Polytechnic ,Goa,"42,300","42,300",--,--,--,--,--,--,--
647,North Eastern Regional Institute of Science and Technology ,Arunachal pradesh,"20,470","29,640",6.9,7.8,6.7,7.2,6.5,5.1,8.3
648,National Institute of Technology ,Arunachal pradesh,"1,45,600","92,172",7.3,7.4,7.1,7.7,6.5,7.4,7.8
649,"Arunodaya University, Itanagar ",Arunachal pradesh,--,--,8.4,9,8.5,8.2,9,7.5,7.9
650,Himalayan University ,Arunachal pradesh,"81,000",--,8.6,8.6,8,8.9,9.1,8.1,9
651,Apex Professional University ,Arunachal pradesh,"70,000","87,000",7.4,7.5,7.5,7.5,7.5,7.5,7
652,Rajiv Gandhi University ,Arunachal pradesh,"19,850","16,800",7,7.4,6.6,7.7,7.6,5.4,7.2
653,Arunachal University of Studies ,Arunachal pradesh,"25,000","32,000",8.3,8.7,7.9,8.4,8.1,8.2,8.4
654,North East Frontier Technical University ,Arunachal pradesh,--,--,8.3,9,7.6,8.5,8.2,8.7,8
655,Venkateshwara Open University ,Arunachal pradesh,"10,000",--,7.9,8.3,7.3,8.5,7.5,7.8,8.2
656,"Tomi Polytechnic College, Basar ",Arunachal pradesh,"45,000",--,--,--,--,--,--,--,--
657,"Government Polytechnic Laying, Itanagar ",Arunachal pradesh,--,--,--,--,--,--,--,--,--
658,"Government Polytechnic Roing, Roing ",Arunachal pradesh,"15,050",--,--,--,--,--,--,--,--
659,Government Polytechnic ,Arunachal pradesh,"15,350",--,--,--,--,--,--,--,--
660,Rajiv Gandhi Government Polytechnic ,Arunachal pradesh,"15,350",--,--,--,--,--,--,--,--
661,"The Global University, Itanagar ",Arunachal pradesh,"90,000","1,00,000",--,--,--,--,--,--,--
662,National Institute of Technology ,Meghalaya,"2,53,700","43,000",7.3,8.1,7,7.9,6.1,7.1,7.5
663,"CMJ University, Ri-Bhoi ",Meghalaya,"3,75,000","2,35,000",8.3,8.8,7.8,8.5,7.8,8.2,8.6
664,North-Eastern Hill University ,Meghalaya,"5,060","5,010",7.9,7.9,7.8,8.2,8.4,6.6,8.2
665,William Carey University ,Meghalaya,"1,06,000","1,06,000",8.5,9.2,8.4,8.4,8.2,8.1,8.6
666,Mahatma Gandhi University ,Meghalaya,"16,000",--,8.1,9,7,9,9,6.3,8.4
667,"MIT University, Shillong ",Meghalaya,"1,35,000",--,3.8,4.8,2.5,3.8,3.3,4.5,3.8
668,Regional Institute of Science and Technolog ,Meghalaya,"1,25,000",--,8.2,9,8,7.7,9,7,8.3
669,"Tura Polytechnic College, Tura ",Meghalaya,"3,516",--,--,--,--,--,--,--,--
670,"Shillong Polytechnic, Mawlai ",Meghalaya,--,--,--,--,--,--,--,--,--
671,"Jowai Polytechnic, Jowai ",Meghalaya,"1,500",--,--,--,--,--,--,--,--
672,National Institute of Technology ,Nagaland,"1,33,800","85,700",7,7.3,6,7.5,6.3,7.2,7.8
673,"St.Joseph University, Dimapur ",Nagaland,"1,23,000",--,8.1,8.4,7.9,8.3,8,8.1,8.1
674,"Nagaland University, Zunhebotto ",Nagaland,"26,960",--,8.1,8.1,7.7,8.7,7.8,7.8,8.3
675,The Global Open University ,Nagaland,"6,525",--,7.8,8.9,7.3,8.4,7.6,7.3,7.4
676,"Government Polytechnic, Kohima ",Nagaland,"7,450",--,--,--,--,--,--,--,--
677,"Khelhoshe Polytechnic Atoizu[KPA], Kohima ",Nagaland,"11,100",--,--,--,--,--,--,--,--
678,"Government Polytechnic Seithekema C, Dimapur ",Nagaland,"8,000",--,--,--,--,--,--,--,--
679,Government Polytechnic Tsunazho ,Nagaland,"7,550",--,--,--,--,--,--,--,--
680,"Government Polytechnic Sedem, Tuensang ",Nagaland,"10,500",--,--,--,--,--,--,--,--
681,"Institute of Communication and Information Technology, Kohima ",Nagaland,--,--,--,--,--,--,--,--,--
682,Pondicherry Engineering College ,Puducherry,"1,71,200","38,050",7.8,8.5,6.9,8.1,7.5,8,7.7
683,National Institute of Technology ,Puducherry,"54,366","28,400",7,7.8,6.8,7.2,6.3,6.6,7.2
684,Manakula Vinayagar Institute of Technology ,Puducherry,"2,44,000",--,7.4,7.9,7.1,7.6,7.7,7.5,6.8
685,"Sri Manakula Vinayagar Engineering College, Pondicherry ",Puducherry,"40,000","20,450",7.5,8.1,6.6,7.9,7.8,8.1,6.5
686,"Rajiv Gandhi College of Engineering and Technology, Pondicherry ",Puducherry,"40,000","20,450",6.8,7.1,6,7,6.9,6.9,6.6
687,"Christ College of Engineering and Technology, Pondicherry ",Puducherry,"1,16,000","90,000",7,8.2,5.8,7.9,6.4,6.5,7.1
688,Perunthalaivar Kamarajar Institute of Engineering and Technology ,Puducherry,"31,915",--,8,8,8,8,8,8,8
689,Achariya College of Engineering Technology ,Puducherry,"68,000",--,6.3,7,6,6.1,6.5,5.4,6.9
690,"Regency Institute of Technology, Yanam ",Puducherry,"41,263",--,5.7,5.4,6,5.2,7.1,4.4,5.9
691,Bharathiyar College of Engineering and Technology ,Puducherry,--,--,6,6.5,5.8,7,7.5,4.5,4.8
692,"PSV College of Engineering and Technology, Pondicherry ",Puducherry,"30,000",--,5.3,5.3,4.7,6,5.3,5,5.7
693,Christ Institute of Technology ,Puducherry,"45,000",--,5.2,5.6,4.9,5.7,5.3,5,4.4
694,R V S College of Engineering and Technology ,Puducherry,"40,000",--,--,--,--,--,--,--,--
695,"Alpha College of Engineering & Technology, Pondicherry ",Puducherry,"29,000",--,4.7,5,5.3,5,4.2,3.8,5
696,Pondicherry University ,Puducherry,"26,218","36,301",7.8,8,7.3,8,8.1,6.9,8.4
697,"Sri Chakra Maritime College, Pondicherry ",Puducherry,--,--,--,--,--,--,--,--,--
698,"Motilal Nehru Government Polytechnic College, Pondicherry ",Puducherry,--,--,--,--,--,--,--,--,--
699,Karaikal Polytechnic College ,Puducherry,"6,000",--,--,--,--,--,--,--,--
700,Dr. B. R. Ambedkar Polytechnic College ,Puducherry,"6,000",--,--,--,--,--,--,--,--
701,Indira Gandhi Polytechnic College ,Puducherry,"7,095","7,195",--,--,--,--,--,--,--
702,"Sri Manakula Vinayagar Polytechnic College-[SMVPC], Pondicherry ",Puducherry,"17,500",--,--,--,--,--,--,--,--
703,Womenâ€™s Polytechnic College ,Puducherry,"6,000","6,000",--,--,--,--,--,--,--
704,National Institute of Technology ,Tripura,"1,50,100","89,800",8,8.1,7.7,7.3,8.7,7.8,8.2
705,"ICFAI University, West Tripura ",Tripura,"1,30,000","1,11,000",8,8.1,7.6,8.1,8.3,7.6,8.5
706,Indian Institute of Information Technology ,Tripura,"2,06,200",--,8.4,8.9,7.6,8.9,8.4,8.1,8.6
707,"Tripura Institute of Technology, Agartala ",Tripura,"12,180","6,751",7.6,7.8,6.5,8.2,8.3,6.8,8.1
708,Techno College of Engineering Agartala ,Tripura,"98,000",--,8,7.6,7.4,7.6,9.2,7.8,8.4
709,"Tripura University, West Tripura ",Tripura,"55,300","5,200",7.5,8,7.1,8.4,7.6,6,8
710,"TTAADC Polytechnic Institute, West Tripura ",Tripura,"6,750",--,--,--,--,--,--,--,--
711,Sikkim Manipal University ,Sikkim,"2,60,000","1,74,000",7.4,7.9,6.5,8.2,7.6,6.8,7.4
712,National Institute of Technology ,Sikkim,"1,39,400","82,900",7.5,8.1,7.2,8,6.5,7.8,7.6
713,"SRM University Sikkim, Gangtok ",Sikkim,"2,25,000",--,8.1,7.7,7.1,8.5,8.3,8.3,8.4
714,Vinayaka Missions Sikkim University ,Sikkim,--,--,7.8,7.8,7.8,8,7.8,7.5,7.8
715,College of Agricultural Engineering and Post Harvest Technology ,Sikkim,"4,280",--,6.8,6.8,6.2,7.1,6.6,6.6,7.4
716,National Institute of Technology ,Manipur,"1,47,700","89,400",7.9,7.9,7.1,8.2,7.4,8.4,8.2
717,Indian Institute of Information Technology ,Manipur,"1,87,945","21,795",6.8,7.1,6.7,7.6,6.3,6.6,6.2
718,Manipur Institute of Technology ,Manipur,"69,200","75,900",7,7,6.5,7.3,7,7,7
719,Manipur Technical University ,Manipur,"63,000",--,8.3,--,--,--,--,--,--
720,Central Agricultural University ,Manipur,"2,980","5,500",7.5,8,6.7,7.5,9,6.8,7
721,Manipur University ,Manipur,"61,250","61,250",8.1,8.4,8.2,8.5,7.7,7.2,8.4
722,"Government Polytechnic, Imphal ",Manipur,--,--,--,--,--,--,--,--,--
723,"Bir Tikendrajit University, Imphal ",Manipur,"1,60,000","1,60,000",--,--,--,--,--,--,--
724,National Institute of Technology ,Mizoram,"1,36,500","82,500",5.4,6.3,4.5,6.4,3.9,6.5,5
725,"Mizoram University, School of Engineering and Technology ",Mizoram,"29,000",--,5.7,6,2,7.5,6,5.5,7
726,"Mizoram Polytechnic, Lunglei ",Mizoram,"5,550",--,--,--,--,--,--,--,--
727,Mizoram University ,Mizoram,"39,150","43,000",8,8.7,7,8.8,8,7.6,7.9
728,National Institute of Electronics & Information Technology ,Mizoram,"44,560","33,950",5.3,7,6,--,7,1,--
729,"Dr. B R Ambedkar Institute of Technology, Port Blair ",Andaman,"12,083","4,780",--,--,--,--,--,--,--
730,"Plastindia International University, Dadra & Nagar Haveli ",Dadra,--,--,--,--,--,--,--,--,--
731,"Government Polytechnic, Daman ",Daman,"3,575","8,280",--,--,--,--,--,--,--
